Rank,Club,Country,Level,Elo,From,To
74,Sampdoria,ITA,1,1641.93969727,2021-07-03,2021-08-16
75,Hertha,GER,1,1638.53625488,2021-07-03,2021-08-15
76,Alaves,ESP,1,1630.98242188,2021-07-26,2021-08-14
77,Fiorentina,ITA,1,1627.28820801,2021-07-26,2021-08-16
78,Mallorca,ESP,2,1626.8470459,2021-07-26,2021-08-14
79,Brugge,BEL,1,1625.66625977,2021-07-26,2021-08-01
80,Marseille,FRA,1,1623.02282715,2021-07-03,2021-08-08
81,Fulham,ENG,2,1622.36572266,2021-07-03,2021-08-08
82,Sheffield United,ENG,2,1619.35168457,2021-07-03,2021-08-07
83,Braga,POR,1,1616.21984863,2021-07-23,2021-08-16
84,Eibar,ESP,1,1614.87145996,2021-07-03,2021-08-16
85,Rennes,FRA,1,1614.39404297,2021-07-03,2021-08-08
86,West Brom,ENG,2,1613.84619141,2021-07-03,2021-08-06
87,Cadiz,ESP,1,1608.56494141,2021-07-03,2021-08-14
88,Leganes,ESP,2,1607.85839844,2021-07-03,2021-08-16
89,Huesca,ESP,1,1607.40026855,2021-07-03,2021-08-16
90,Bielefeld,GER,1,1607.09667969,2021-07-03,2021-08-14
91,Valladolid,ESP,1,1606.06030273,2021-07-03,2021-08-16
92,Girona,ESP,2,1604.73083496,2021-07-03,2021-08-16
93,Genoa,ITA,1,1603.64318848,2021-07-03,2021-08-16
94,Bournemouth,ENG,2,1603.5760498,2021-07-03,2021-08-06
95,Koeln,GER,1,1597.12817383,2021-07-03,2021-08-15
96,Rayo Vallecano,ESP,2,1596.6784668,2021-07-03,2021-08-15
97,Augsburg,GER,1,1596.48034668,2021-07-03,2021-08-14
98,Osijek,CRO,1,1594.25622559,2021-07-26,2021-08-16
99,Partizan,SRB,0,1593.96374512,2021-07-26,2021-08-16
100,Bologna,ITA,1,1592.54382324,2021-07-26,2021-08-16
None,Montpellier,FRA,1,1592.50061035,2021-07-26,2021-08-08
None,Elche,ESP,1,1592.12841797,2021-05-27,2021-08-16
None,Werder,GER,2,1589.83996582,2021-07-25,2021-07-31
None,Udinese,ITA,1,1589.66479492,2021-05-24,2021-08-16
None,Cagliari,ITA,1,1587.42297363,2021-05-23,2021-08-16
None,Torino,ITA,1,1584.81054688,2021-05-24,2021-08-16
None,Verona,ITA,1,1583.97229004,2021-05-24,2021-08-16
None,Lok Moskva,RUS,1,1581.5637207,2021-07-25,2021-07-31
None,Feyenoord,NED,1,1581.41247559,2021-07-23,2021-08-15
None,LASK,AUT,1,1579.04882812,2021-07-25,2021-07-31
None,Crvena Zvezda,SRB,0,1574.93664551,2021-07-23,2021-07-28
None,Almeria,ESP,2,1574.56494141,2021-06-06,2021-08-16
None,Rapid Wien,AUT,1,1573.76708984,2021-07-25,2021-07-28
None,Molde,NOR,1,1573.15319824,2021-07-23,2021-08-16
None,Midtjylland,DEN,1,1572.66430664,2021-07-25,2021-07-28
None,Genk,BEL,1,1572.65515137,2021-07-24,2021-07-30
None,Sparta Praha,CZE,1,1566.87084961,2021-07-25,2021-07-28
None,CFR Cluj,ROM,1,1565.74682617,2021-07-25,2021-07-28
None,Swansea,ENG,2,1565.63317871,2021-05-30,2021-08-07
None,Bochum,GER,1,1564.52526855,2021-07-02,2021-08-14
None,Cardiff,ENG,2,1563.96130371,2021-05-27,2021-08-07
None,Nice,FRA,1,1562.82580566,2021-05-24,2021-08-08
None,Celtic,SCO,1,1562.52868652,2021-07-23,2021-07-28
None,Besiktas,TUR,1,1560.36975098,2021-07-23,2021-08-16
None,Duesseldorf,GER,2,1560.21606445,2021-07-26,2021-07-31
None,Reims,FRA,1,1558.53894043,2021-05-24,2021-08-08
None,Lens,FRA,1,1558.48974609,2021-05-24,2021-08-08
None,Galatasaray,TUR,1,1556.83300781,2021-07-23,2021-07-28
None,Fuerth,GER,1,1556.45715332,2021-07-02,2021-08-14
None,Hamburg,GER,2,1554.2980957,2021-07-24,2021-08-01
None,Strasbourg,FRA,1,1553.4074707,2021-05-24,2021-08-08
None,Nantes,FRA,1,1550.55529785,2021-05-24,2021-08-06
None,Malmoe,SWE,1,1548.58166504,2021-07-25,2021-07-27
None,Saint-Etienne,FRA,1,1547.57189941,2021-05-24,2021-08-08
None,Zorya,UKR,1,1542.67016602,2021-07-26,2021-08-16
None,Barnsley,ENG,2,1542.61437988,2021-05-27,2021-08-07
None,Empoli,ITA,2,1542.33984375,2021-05-11,2021-08-16
None,Spezia,ITA,1,1541.00549316,2021-05-24,2021-08-16
None,M Tel Aviv,ISR,1,1539.11328125,2021-07-23,2021-08-16
None,Gijon,ESP,2,1537.58276367,2021-05-31,2021-08-16
None,PAOK,GRE,1,1537.20385742,2021-07-23,2021-08-16
None,FC Kobenhavn,DEN,1,1535.17895508,2021-07-26,2021-08-01
None,Sturm Graz,AUT,1,1534.6340332,2021-07-24,2021-08-01
None,Rijeka,CRO,1,1534.11901855,2021-07-26,2021-08-16
None,Metz,FRA,1,1532.65917969,2021-05-24,2021-08-08
None,Spartak Moskva,RUS,1,1531.58239746,2021-07-25,2021-07-30
None,Gent,BEL,1,1531.06726074,2021-07-26,2021-08-01
None,Basel,SUI,1,1530.99572754,2021-07-26,2021-08-01
None,QPR,ENG,2,1530.77478027,2021-05-27,2021-08-07
None,Bordeaux,FRA,1,1528.13330078,2021-05-24,2021-08-08
None,Utrecht,NED,1,1526.82629395,2021-07-23,2021-08-15
None,Brondby,DEN,1,1526.26696777,2021-07-26,2021-08-01
None,Fenerbahce,TUR,1,1526.13232422,2021-07-23,2021-08-16
None,CSKA Moskva,RUS,1,1526.04760742,2021-07-26,2021-07-31
None,Holstein,GER,2,1523.32983398,2021-07-26,2021-08-01
None,Ferencvaros,HUN,1,1521.32824707,2021-07-23,2021-07-27
None,Sochi,RUS,1,1521.28869629,2021-07-27,2021-08-16
None,Razgrad,BUL,1,1520.32946777,2021-07-26,2021-07-28
None,Reading,ENG,2,1518.49243164,2021-05-27,2021-08-07
None,Benevento,ITA,1,1516.39453125,2021-05-24,2021-08-16
None,Trabzonspor,TUR,1,1515.66906738,2021-07-23,2021-08-16
None,Darmstadt,GER,2,1515.11523438,2021-07-25,2021-07-30
None,Tenerife,ESP,2,1514.91345215,2021-05-30,2021-08-16
None,Fuenlabrada,ESP,2,1514.18762207,2021-05-31,2021-08-16
None,Antwerp,BEL,1,1514.16003418,2021-07-26,2021-08-01
None,Vitesse,NED,1,1513.85229492,2021-07-23,2021-08-15
None,Legia,POL,1,1513.53076172,2021-07-25,2021-07-27
None,Anderlecht,BEL,1,1513.44628906,2021-07-26,2021-07-31
None,Lorient,FRA,1,1513.34191895,2021-05-24,2021-08-08
None,Oviedo,ESP,2,1512.89489746,2021-05-30,2021-08-16
None,Rubin Kazan,RUS,1,1512.78869629,2021-07-25,2021-07-30
None,Dynamo Moskva,RUS,1,1512.21801758,2021-07-24,2021-07-31
None,Angers,FRA,1,1510.75683594,2021-05-24,2021-08-08
None,FC Krasnodar,RUS,1,1510.23120117,2021-07-26,2021-08-01
None,Preston,ENG,2,1509.29125977,2021-05-27,2021-08-07
None,Viktoria Plzen,CZE,1,1508.85974121,2021-07-26,2021-08-16
None,Las Palmas,ESP,2,1508.35424805,2021-05-31,2021-08-16
None,Blackburn,ENG,2,1507.12915039,2021-05-27,2021-08-07
None,Brest,FRA,1,1506.02001953,2021-05-24,2021-08-07
None,Schalke,GER,2,1505.21716309,2021-07-24,2021-08-01
None,Paderborn,GER,2,1504.7088623,2021-07-25,2021-07-30
None,Bodoe Glimt,NOR,1,1503.34265137,2021-07-23,2021-08-16
None,Karlsruhe,GER,2,1500.38513184,2021-07-25,2021-07-30
None,Clermont,FRA,1,1499.60949707,2021-07-02,2021-08-08
None,Millwall,ENG,2,1499.03393555,2021-05-27,2021-08-07
None,Jablonec,CZE,1,1498.39978027,2021-07-25,2021-07-31
None,Malaga,ESP,2,1497.89135742,2021-05-31,2021-08-16
None,Alcorcon,ESP,2,1497.3404541,2021-05-31,2021-08-16
None,Hajduk,CRO,1,1496.7668457,2021-07-26,2021-08-16
None,Santa Clara,POR,1,1496.21313477,2021-07-23,2021-08-16
None,Troyes,FRA,1,1495.8046875,2021-07-02,2021-08-07
None,Stoke,ENG,2,1495.50402832,2021-05-27,2021-08-07
None,Sivasspor,TUR,1,1495.33410645,2021-07-23,2021-08-16
None,Lecce,ITA,2,1494.6817627,2021-05-21,2021-08-16
None,Venezia,ITA,2,1491.78137207,2021-05-28,2021-08-16
None,Zaragoza,ESP,2,1491.71105957,2021-05-31,2021-08-16
None,Middlesbrough,ENG,2,1491.6307373,2021-05-27,2021-08-08
None,Apollon Lemesos,CYP,0,1491.37097168,2021-07-23,2021-08-16
None,Forest,ENG,2,1489.57214355,2021-05-27,2021-08-08
None,Heidenheim,GER,2,1489.18859863,2021-07-25,2021-07-31
None,Parma,ITA,1,1489.14001465,2021-05-23,2021-08-16
None,Mechelen,BEL,1,1486.52148438,2021-07-26,2021-07-31
None,Nimes,FRA,2,1486.12536621,2021-07-25,2021-08-16
None,Moreirense,POR,1,1485.01782227,2021-07-23,2021-08-16
None,Ponferradina,ESP,2,1483.67944336,2021-05-31,2021-08-16
None,Mirandes,ESP,2,1480.98291016,2021-05-31,2021-08-16
None,Maccabi Haifa,ISR,1,1480.81188965,2021-07-23,2021-08-16
None,Austria Wien,AUT,1,1480.56494141,2021-07-26,2021-08-01
None,CSKA Sofia,BUL,1,1480.16955566,2021-07-26,2021-08-16
None,Wolfsberg,AUT,1,1480.09912109,2021-07-26,2021-08-01
None,Crotone,ITA,1,1480.05761719,2021-05-23,2021-08-16
None,Salernitana,ITA,2,1480.01098633,2021-05-11,2021-08-16
None,Luton,ENG,2,1479.03271484,2021-05-27,2021-08-07
None,Brescia,ITA,2,1478.05395508,2021-05-14,2021-08-16
None,Cartagena,ESP,2,1477.59838867,2021-05-31,2021-08-16
None,Famalicao,POR,1,1476.74060059,2021-07-23,2021-08-16
None,Guimaraes,POR,1,1476.72485352,2021-07-23,2021-08-16
None,AEK,GRE,1,1476.40429688,2021-07-23,2021-08-16
None,Steaua,ROM,1,1473.83178711,2021-07-26,2021-08-01
None,Aarhus,DEN,1,1472.0982666,2021-07-26,2021-08-01
None,Hannover,GER,2,1471.76721191,2021-07-25,2021-07-31
None,Toulouse,FRA,2,1469.43591309,2021-07-25,2021-08-16
None,Sabadell,ESP,2,1469.2052002,2021-05-31,2021-08-16
None,St Pauli,GER,2,1468.73632812,2021-07-26,2021-08-01
None,AEL Limassol,CYP,0,1468.11999512,2021-07-23,2021-08-16
None,Chievo,ITA,2,1467.93945312,2021-05-14,2021-08-16
None,Pacos Ferreira,POR,1,1467.2532959,2021-07-23,2021-08-16
None,Coventry,ENG,2,1466.37890625,2021-05-27,2021-08-08
None,Rio Ave,POR,1,1465.97119141,2021-07-23,2021-08-16
None,Nuernberg,GER,2,1462.9263916,2021-07-26,2021-07-30
None,Cittadella,ITA,2,1462.1854248,2021-05-28,2021-08-16
None,Monza,ITA,2,1460.56921387,2021-05-21,2021-08-16
None,StGallen,SUI,1,1459.60717773,2021-07-25,2021-08-01
None,Djurgarden,SWE,1,1459.35522461,2021-07-26,2021-08-01
None,Charleroi,BEL,1,1458.97033691,2021-07-25,2021-07-31
None,Slovacko,CZE,1,1458.3067627,2021-07-26,2021-08-16
None,HNK Gorica,CRO,1,1457.6875,2021-07-25,2021-08-16
None,Lugo,ESP,2,1457.2611084,2021-05-31,2021-08-16
None,Rosenborg,NOR,1,1454.76013184,2021-07-23,2021-08-16
None,Desna,UKR,1,1453.9173584,2021-07-26,2021-08-16
None,Boavista,POR,1,1453.7064209,2021-07-23,2021-08-16
None,Terek Grozny,RUS,1,1453.1739502,2021-07-26,2021-08-16
None,Omonia,CYP,0,1453.14355469,2021-07-23,2021-07-27
None,Standard,BEL,1,1452.98486328,2021-07-24,2021-08-01
None,Luzern,SUI,1,1452.6328125,2021-07-25,2021-08-01
None,Paris FC,FRA,2,1452.53405762,2021-07-25,2021-08-16
None,Hartberg,AUT,1,1450.12121582,2021-07-25,2021-07-31
None,Huddersfield,ENG,2,1449.38720703,2021-05-27,2021-08-07
None,FK Astana,KAZ,0,1448.73413086,2021-07-23,2021-08-16
None,Groningen,NED,1,1448.59509277,2021-07-23,2021-08-15
None,Panathinaikos,GRE,1,1445.64013672,2021-07-23,2021-08-16
None,Gil Vicente,POR,1,1443.67724609,2021-07-23,2021-08-16
None,Lugano,SUI,1,1443.28356934,2021-07-26,2021-08-01
None,Auxerre,FRA,2,1443.01843262,2021-07-25,2021-08-16
None,Belenenses,POR,1,1442.81140137,2021-07-23,2021-08-16
None,Rostov,RUS,1,1440.88232422,2021-07-24,2021-08-01
None,Derby,ENG,2,1439.94616699,2021-05-27,2021-08-07
None,Kolos,UKR,1,1439.17724609,2021-07-25,2021-08-16
None,Karabakh Agdam,AZE,0,1439.17553711,2021-07-23,2021-08-16
None,Cremonese,ITA,2,1439.15356445,2021-05-11,2021-08-16
None,Blackpool,ENG,2,1438.95739746,2021-07-01,2021-08-07
None,Peterboro,ENG,2,1438.95739746,2021-07-01,2021-08-07
None,Hull,ENG,2,1438.95739746,2021-07-01,2021-08-07
None,Regensburg,GER,2,1438.4276123,2021-07-25,2021-07-31
None,Sparta Rotterdam,NED,1,1437.84448242,2021-07-23,2021-08-15
None,Zuerich,SUI,1,1437.05358887,2021-07-26,2021-07-31
None,Aue,GER,2,1436.54431152,2021-07-26,2021-08-01
None,Bueyueksehir,TUR,1,1436.0847168,2021-07-23,2021-08-16
None,Spal,ITA,2,1436.02368164,2021-05-11,2021-08-16
None,Rakow,POL,1,1435.58850098,2021-07-26,2021-08-16
None,Birmingham,ENG,2,1434.99438477,2021-05-27,2021-08-07
None,Albacete,ESP,2,1434.57421875,2021-05-31,2021-08-16
None,Frosinone,ITA,2,1432.88574219,2021-05-11,2021-08-16
None,Servette,SUI,1,1432.58325195,2021-07-26,2021-08-01
None,Heracles,NED,1,1431.73828125,2021-07-23,2021-08-14
None,Slovan Liberec,CZE,1,1431.32763672,2021-07-26,2021-07-31
None,Alanyaspor,TUR,1,1430.64440918,2021-07-23,2021-08-16
None,Nordsjaelland,DEN,1,1429.79431152,2021-07-26,2021-08-02
None,Aalborg,DEN,1,1428.46166992,2021-07-25,2021-08-01
None,Reggina,ITA,2,1428.08642578,2021-05-11,2021-08-16
None,Randers,DEN,1,1427.99267578,2021-07-26,2021-08-01
None,Portimonense,POR,1,1427.55603027,2021-07-23,2021-08-16
None,Craiova,ROM,1,1425.59936523,2021-07-26,2021-08-01
None,FC Khimki,RUS,1,1425.15124512,2021-07-25,2021-08-01
None,Aris,GRE,1,1417.6439209,2021-07-23,2021-08-16
None,Logrones,ESP,2,1417.49353027,2021-05-31,2021-08-16
None,Pisa,ITA,2,1417.46569824,2021-05-11,2021-08-16
None,Wattens,AUT,1,1415.8371582,2021-07-25,2021-08-01
None,Castellon,ESP,2,1415.82019043,2021-05-31,2021-08-16
None,Hatayspor,TUR,1,1415.70178223,2021-07-23,2021-08-16
None,Odense,DEN,1,1413.81188965,2021-07-26,2021-08-01
None,Bristol City,ENG,2,1413.25463867,2021-05-27,2021-08-07
None,Maritimo,POR,1,1412.81665039,2021-07-23,2021-08-16
None,Sion,SUI,1,1412.51599121,2021-07-26,2021-08-01
None,Olexandriya,UKR,1,1412.39025879,2021-07-26,2021-08-16
None,Dresden,GER,2,1412.12634277,2021-07-25,2021-08-01
None,Dijon,FRA,2,1412.1138916,2021-07-27,2021-08-16
None,Oostende,BEL,1,1411.64953613,2021-07-25,2021-07-30
None,Fatih Karaguemruek,TUR,1,1411.20715332,2021-07-23,2021-08-16
None,Heerenveen,NED,1,1409.54052734,2021-07-23,2021-08-13
None,Sandhausen,GER,2,1409.09008789,2021-07-26,2021-07-31
None,Hammarby,SWE,1,1408.90612793,2021-07-26,2021-08-01
None,St Truiden,BEL,1,1408.51977539,2021-07-26,2021-07-31
None,Guingamp,FRA,2,1408.4654541,2021-07-25,2021-08-16
None,Pordenone,ITA,2,1408.01477051,2021-05-11,2021-08-16
None,Sepsi,ROM,1,1407.45275879,2021-07-27,2021-08-16
None,Gaziantep FK,TUR,1,1407.44165039,2021-07-23,2021-08-16
None,Norrkoeping,SWE,1,1407.15820312,2021-07-26,2021-08-02
None,Vorskla,UKR,1,1406.18212891,2021-07-27,2021-08-16
None,Zulte Waregem,BEL,1,1405.8104248,2021-07-25,2021-08-01
None,Vicenza,ITA,2,1405.16918945,2021-05-11,2021-08-16
None,Elfsborg,SWE,1,1405.01757812,2021-07-26,2021-08-16
None,Sverdlovsk,RUS,1,1404.83129883,2021-07-26,2021-08-01
None,Soligorsk,BLR,1,1404.47241211,2021-07-23,2021-08-16
None,Lausanne,SUI,1,1402.97741699,2021-07-25,2021-07-31
None,Ufa,RUS,1,1402.52722168,2021-07-26,2021-07-31
None,Pogon,POL,1,1402.46459961,2021-07-26,2021-08-16
None,AIK,SWE,1,1402.32727051,2021-07-27,2021-08-02
None,Lok Plovdiv,BUL,1,1402.08093262,2021-07-26,2021-08-16
None,Zwolle,NED,1,1401.08520508,2021-07-23,2021-08-15
None,Eupen,BEL,1,1401.0723877,2021-07-26,2021-07-31
None,Ascoli,ITA,2,1400.97045898,2021-05-11,2021-08-16
None,Lech,POL,1,1400.02856445,2021-07-24,2021-07-30
None,Banik Ostrava,CZE,1,1399.77355957,2021-07-25,2021-08-16
None,Bohemians Praha,CZE,1,1399.56835938,2021-07-25,2021-08-16
None,Valerenga,NOR,1,1399.55883789,2021-07-23,2021-08-16
None,BATE,BLR,1,1398.37341309,2021-07-26,2021-08-16
None,Grenoble,FRA,2,1397.52685547,2021-07-25,2021-08-16
None,Tondela,POR,1,1397.38293457,2021-07-23,2021-08-16
None,Kortrijk,BEL,1,1397.19616699,2021-07-25,2021-08-01
None,Novi Sad,SRB,0,1396.53222656,2021-07-23,2021-08-16
None,Asteras Tripolis,GRE,1,1396.2244873,2021-07-23,2021-08-16
None,Piast Gliwice,POL,1,1396.14453125,2021-07-26,2021-08-16
None,Hibernian,SCO,1,1395.92272949,2021-07-23,2021-08-01
None,Aberdeen,SCO,1,1395.9119873,2021-07-23,2021-08-01
None,Cukaricki,SRB,0,1395.3326416,2021-07-23,2021-08-16
None,Zilina,SLK,0,1393.48925781,2021-07-23,2021-08-16
None,Willem II,NED,1,1393.48449707,2021-07-23,2021-08-15
None,Slovan Bratislava,SLK,0,1392.21606445,2021-07-23,2021-07-28
None,Konyaspor,TUR,1,1391.66772461,2021-07-23,2021-08-16
None,Trnava,SLK,0,1391.01269531,2021-07-23,2021-08-16
None,Dnipro,UKR,1,1390.66455078,2021-07-27,2021-08-16
None,Rostock,GER,2,1390.53881836,2021-07-25,2021-07-31
None,Beer-Sheva,ISR,1,1389.09216309,2021-07-23,2021-08-16
None,Ingolstadt,GER,2,1388.69873047,2021-07-25,2021-07-31
None,Farense,POR,1,1388.57531738,2021-07-23,2021-08-16
None,Twente,NED,1,1386.53283691,2021-07-23,2021-08-14
None,Kristiansund,NOR,1,1386.23840332,2021-07-23,2021-08-16
None,Klagenfurt,AUT,1,1385.73876953,2021-07-26,2021-07-31
None,Sittard,NED,1,1385.17578125,2021-07-23,2021-08-14
None,Dunajska,SLK,0,1384.9465332,2021-07-23,2021-08-16
None,Haecken,SWE,1,1383.58276367,2021-07-26,2021-08-01
None,Beerschot AC,BEL,1,1383.47399902,2021-07-23,2021-08-01
None,Mlada Boleslav,CZE,1,1382.85412598,2021-07-26,2021-07-31
None,Altach,AUT,1,1382.50732422,2021-07-25,2021-07-31
None,Ried,AUT,1,1381.23034668,2021-07-26,2021-08-01
None,Leuven,BEL,1,1380.09191895,2021-07-25,2021-07-31
None,Ajaccio,FRA,2,1378.59863281,2021-07-25,2021-08-16
None,Le Havre,FRA,2,1376.74475098,2021-07-25,2021-08-16
None,Sochaux,FRA,2,1375.02648926,2021-07-27,2021-08-16
None,Kasimpasa,TUR,1,1373.68530273,2021-07-23,2021-08-16
None,Goeztepe,TUR,1,1371.70117188,2021-07-23,2021-08-16
None,Nancy,FRA,2,1371.43823242,2021-07-25,2021-08-16
None,Amiens,FRA,2,1369.58459473,2021-07-25,2021-08-16
None,Nizhny Novgorod,RUS,1,1368.84960938,2021-07-27,2021-08-01
None,Haugesund,NOR,1,1368.57470703,2021-07-23,2021-07-28
None,Viking,NOR,1,1367.99816895,2021-07-23,2021-08-16
None,Lechia,POL,1,1363.26477051,2021-07-25,2021-08-16
None,Slask,POL,1,1363.01037598,2021-07-26,2021-08-16
None,Lok Zagreb,CRO,1,1362.97106934,2021-07-25,2021-08-16
None,Pau,FRA,2,1362.34606934,2021-07-25,2021-08-16
None,Videoton,HUN,1,1361.83886719,2021-07-23,2021-08-16
None,Kryliya Sovetov,RUS,1,1361.40222168,2021-07-26,2021-07-30
None,Tula,RUS,1,1361.12927246,2021-07-25,2021-07-30
None,Malatyaspor,TUR,1,1361.0916748,2021-07-23,2021-08-16
None,Cosenza,ITA,2,1360.20825195,2021-05-11,2021-08-16
None,Botosani,ROM,1,1360.14819336,2021-07-25,2021-08-01
None,St Gillis,BEL,1,1358.90319824,2021-07-26,2021-08-01
None,Grasshoppers,SUI,1,1357.74169922,2021-07-26,2021-07-31
None,Odd Grenland,NOR,1,1357.34765625,2021-07-23,2021-07-28
None,Antalyaspor,TUR,1,1356.00292969,2021-07-23,2021-08-16
None,Sigma Olomouc,CZE,1,1355.24890137,2021-07-25,2021-07-31
None,Pardubice,CZE,1,1353.81115723,2021-07-25,2021-07-31
None,SonderjyskE,DEN,1,1350.09436035,2021-07-27,2021-08-02
None,Vaduz,LIE,0,1349.84655762,2021-07-23,2021-08-16
None,Ilichivets,UKR,1,1349.72692871,2021-07-24,2021-08-16
None,Lubin,POL,1,1348.9642334,2021-07-27,2021-07-30
None,Kairat,KAZ,0,1348.18762207,2021-07-23,2021-07-28
None,Slaven Belupo,CRO,1,1347.97827148,2021-07-25,2021-08-16
None,Cercle Brugge,BEL,1,1347.91320801,2021-07-23,2021-07-31
None,Caen,FRA,2,1347.51843262,2021-07-25,2021-08-16
None,Rizespor,TUR,1,1345.68737793,2021-07-23,2021-08-16
None,Maribor,SVN,1,1341.2800293,2021-07-26,2021-08-16
None,Dinamo Brest,BLR,1,1340.10754395,2021-07-26,2021-08-16
None,Kayseri,TUR,1,1339.18920898,2021-07-23,2021-08-16
None,Reggiana,ITA,2,1338.23522949,2021-05-11,2021-08-16
None,Rukh Lviv,UKR,1,1338.18859863,2021-07-26,2021-08-16
None,Cracovia,POL,1,1336.95996094,2021-07-25,2021-08-16
None,Ashdod,ISR,1,1335.52868652,2021-07-23,2021-08-16
